date,timestamp,hour,doy,DNI,DHI,delta,alpha,b,eot,tc,lst,noon,hra,beam,diffuse,power
12/31/1994,1/1/1995 0:00,0,1,0,0,-0.402925158,0.598021168,4.888834595,-3.256234924,-41.72423492,12/31/1994 21:18,12/31/1994 12:00,2.435937559,0,0,0
12/31/1994,1/1/1995 1:00,1,1,0,0,-0.402925158,0.598021168,4.888834595,-3.256234924,-41.72423492,12/31/1994 22:18,12/31/1994 12:00,2.697736946,0,0,0
12/31/1994,1/1/1995 2:00,2,1,0,0,-0.401628827,0.599317499,-1.377136506,-3.705178323,-42.17317832,12/31/1994 23:17,12/31/1994 12:00,2.957577449,0,0,0
1/1/2000,1/1/2000 3:00,3,1,0,0,-0.401628827,0.599317499,-1.377136506,-3.705178323,-42.17317832,1/1/2000 0:17,1/1/2000 12:00,-3.06380847,0,0,0
1/1/2000,1/1/2000 4:00,4,1,0,0,-0.401628827,0.599317499,-1.377136506,-3.705178323,-42.17317832,1/1/2000 1:17,1/1/2000 12:00,-2.802009082,0,0,0
1/1/2000,1/1/2000 5:00,5,1,0,0,-0.401628827,0.599317499,-1.377136506,-3.705178323,-42.17317832,1/1/2000 2:17,1/1/2000 12:00,-2.540209695,0,0,0
1/1/2000,1/1/2000 6:00,6,1,0,0,-0.401628827,0.599317499,-1.377136506,-3.705178323,-42.17317832,1/1/2000 3:17,1/1/2000 12:00,-2.278410307,0,0,0
1/1/2000,1/1/2000 7:00,7,1,0,0,-0.401628827,0.599317499,-1.377136506,-3.705178323,-42.17317832,1/1/2000 4:17,1/1/2000 12:00,-2.016610919,0,0,0
1/1/2000,1/1/2000 8:00,8,1,0,0,-0.401628827,0.599317499,-1.377136506,-3.705178323,-42.17317832,1/1/2000 5:17,1/1/2000 12:00,-1.754811531,0,0,0
1/1/2000,1/1/2000 9:00,9,1,0,0,-0.401628827,0.599317499,-1.377136506,-3.705178323,-42.17317832,1/1/2000 6:17,1/1/2000 12:00,-1.493012143,0,0,0
1/1/2000,1/1/2000 10:00,10,1,0,0,-0.401628827,0.599317499,-1.377136506,-3.705178323,-42.17317832,1/1/2000 7:17,1/1/2000 12:00,-1.231212756,0,0,0
1/1/2000,1/1/2000 11:00,11,1,493,24,-0.401628827,0.599317499,-1.377136506,-3.705178323,-42.17317832,1/1/2000 8:17,1/1/2000 12:00,-0.969413368,256.7353698,19.64666667,0.000276382
1/1/2000,1/1/2000 12:00,12,1,758,45,-0.401628827,0.599317499,-1.377136506,-3.705178323,-42.17317832,1/1/2000 9:17,1/1/2000 12:00,-0.70761398,530.1794089,36.8375,0.000567017
1/1/2000,1/1/2000 13:00,13,1,841,63,-0.401628827,0.599317499,-1.377136506,-3.705178323,-42.17317832,1/1/2000 10:17,1/1/2000 12:00,-0.445814592,698.4192416,51.5725,0.000749992
1/1/2000,1/1/2000 14:00,14,1,841,77,-0.401628827,0.599317499,-1.377136506,-3.705178323,-42.17317832,1/1/2000 11:17,1/1/2000 12:00,-0.184015204,761.0090114,63.03305556,0.000824042
1/1/2000,1/1/2000 15:00,15,1,793,113,-0.401628827,0.599317499,-1.377136506,-3.705178323,-42.17317832,1/1/2000 12:17,1/1/2000 12:00,0.077784183,727.6904385,92.50305556,0.000820193
1/1/2000,1/1/2000 16:00,16,1,810,101,-0.401628827,0.599317499,-1.377136506,-3.705178323,-42.17317832,1/1/2000 13:17,1/1/2000 12:00,0.339583571,702.9691601,82.67972222,0.000785649
1/1/2000,1/1/2000 17:00,17,1,884,78,-0.401628827,0.599317499,-1.377136506,-3.705178323,-42.17317832,1/1/2000 14:17,1/1/2000 12:00,0.601382959,670.9033681,63.85166667,0.000734755
1/1/2000,1/1/2000 18:00,18,1,696,97,-0.401628827,0.599317499,-1.377136506,-3.705178323,-42.17317832,1/1/2000 15:17,1/1/2000 12:00,0.863182347,416.4148682,79.40527778,0.00049582
1/1/2000,1/1/2000 19:00,19,1,523,97,-0.401628827,0.599317499,-1.377136506,-3.705178323,-42.17317832,1/1/2000 16:17,1/1/2000 12:00,1.124981735,207.5687735,79.40527778,0.000286974
1/1/2000,1/1/2000 20:00,20,1,165,5,-0.401628827,0.599317499,-1.377136506,-3.705178323,-42.17317832,1/1/2000 17:17,1/1/2000 12:00,1.386781122,27.78897497,4.093055556,3.19E-05
1/1/2000,1/1/2000 21:00,21,1,0,0,-0.401628827,0.599317499,-1.377136506,-3.705178323,-42.17317832,1/1/2000 18:17,1/1/2000 12:00,1.64858051,0,0,0
1/1/2000,1/1/2000 22:00,22,1,0,0,-0.401628827,0.599317499,-1.377136506,-3.705178323,-42.17317832,1/1/2000 19:17,1/1/2000 12:00,1.910379898,0,0,0
1/1/2000,1/1/2000 23:00,23,1,0,0,-0.401628827,0.599317499,-1.377136506,-3.705178323,-42.17317832,1/1/2000 20:17,1/1/2000 12:00,2.172179286,0,0,0
1/1/2000,1/2/2000 0:00,0,2,0,0,-0.401628827,0.599317499,-1.377136506,-3.705178323,-42.17317832,1/1/2000 21:17,1/1/2000 12:00,2.433978674,0,0,0
1/1/2000,1/2/2000 1:00,1,2,0,0,-0.401628827,0.599317499,-1.377136506,-3.705178323,-42.17317832,1/1/2000 22:17,1/1/2000 12:00,2.695778061,0,0,0
1/1/2000,1/2/2000 2:00,2,2,0,0,-0.400213485,0.600732841,-1.359922299,-4.149710085,-42.61771009,1/1/2000 23:17,1/1/2000 12:00,2.955637813,0,0,0
1/2/2000,1/2/2000 3:00,3,2,0,0,-0.400213485,0.600732841,-1.359922299,-4.149710085,-42.61771009,1/2/2000 0:17,1/2/2000 12:00,-3.065748106,0,0,0
1/2/2000,1/2/2000 4:00,4,2,0,0,-0.400213485,0.600732841,-1.359922299,-4.149710085,-42.61771009,1/2/2000 1:17,1/2/2000 12:00,-2.803948718,0,0,0
1/2/2000,1/2/2000 5:00,5,2,0,0,-0.400213485,0.600732841,-1.359922299,-4.149710085,-42.61771009,1/2/2000 2:17,1/2/2000 12:00,-2.54214933,0,0,0
1/2/2000,1/2/2000 6:00,6,2,0,0,-0.400213485,0.600732841,-1.359922299,-4.149710085,-42.61771009,1/2/2000 3:17,1/2/2000 12:00,-2.280349943,0,0,0
1/2/2000,1/2/2000 7:00,7,2,0,0,-0.400213485,0.600732841,-1.359922299,-4.149710085,-42.61771009,1/2/2000 4:17,1/2/2000 12:00,-2.018550555,0,0,0
1/2/2000,1/2/2000 8:00,8,2,0,0,-0.400213485,0.600732841,-1.359922299,-4.149710085,-42.61771009,1/2/2000 5:17,1/2/2000 12:00,-1.756751167,0,0,0
1/2/2000,1/2/2000 9:00,9,2,0,0,-0.400213485,0.600732841,-1.359922299,-4.149710085,-42.61771009,1/2/2000 6:17,1/2/2000 12:00,-1.494951779,0,0,0
1/2/2000,1/2/2000 10:00,10,2,0,0,-0.400213485,0.600732841,-1.359922299,-4.149710085,-42.61771009,1/2/2000 7:17,1/2/2000 12:00,-1.233152391,0,0,0
1/2/2000,1/2/2000 11:00,11,2,497,24,-0.400213485,0.600732841,-1.359922299,-4.149710085,-42.61771009,1/2/2000 8:17,1/2/2000 12:00,-0.971353004,258.2411925,19.64666667,0.000277888
1/2/2000,1/2/2000 12:00,12,2,691,57,-0.400213485,0.600732841,-1.359922299,-4.149710085,-42.61771009,1/2/2000 9:17,1/2/2000 12:00,-0.709553616,482.8033492,46.66083333,0.000529464
1/2/2000,1/2/2000 13:00,13,2,841,68,-0.400213485,0.600732841,-1.359922299,-4.149710085,-42.61771009,1/2/2000 10:17,1/2/2000 12:00,-0.447754228,698.1892647,55.66555556,0.000753855
1/2/2000,1/2/2000 14:00,14,2,864,70,-0.400213485,0.600732841,-1.359922299,-4.149710085,-42.61771009,1/2/2000 11:17,1/2/2000 12:00,-0.18595484,782.0066853,57.30277778,0.000839309
1/2/2000,1/2/2000 15:00,15,2,834,100,-0.400213485,0.600732841,-1.359922299,-4.149710085,-42.61771009,1/2/2000 12:17,1/2/2000 12:00,0.075844548,765.8873811,81.86111111,0.000847748
1/2/2000,1/2/2000 16:00,16,2,895,79,-0.400213485,0.600732841,-1.359922299,-4.149710085,-42.61771009,1/2/2000 13:17,1/2/2000 12:00,0.337643935,777.7347471,64.67027778,0.000842405
1/2/2000,1/2/2000 17:00,17,2,865,71,-0.400213485,0.600732841,-1.359922299,-4.149710085,-42.61771009,1/2/2000 14:17,1/2/2000 12:00,0.599443323,657.7504783,58.12138889,0.000715872
1/2/2000,1/2/2000 18:00,18,2,813,76,-0.400213485,0.600732841,-1.359922299,-4.149710085,-42.61771009,1/2/2000 15:17,1/2/2000 12:00,0.861242711,487.8102659,62.21444444,0.000550025
