date,timestamp,hour,doy,DNI,DHI,delta,alpha,b,eot,tc,lst,noon,hra,beam,diffuse,power
1/1/1998,1/1/1998 4:00,4,1,0,0,-0.401628827,0.570519566,-1.377136506,-3.705178323,11.62682168,1/1/1998 1:11,1/1/1998 12:00,-2.829061686,0,0,0
1/1/1998,1/1/1998 5:00,5,1,0,0,-0.401628827,0.570519566,-1.377136506,-3.705178323,11.62682168,1/1/1998 2:11,1/1/1998 12:00,-2.567262298,0,0,0
1/1/1998,1/1/1998 6:00,6,1,0,0,-0.401628827,0.570519566,-1.377136506,-3.705178323,11.62682168,1/1/1998 3:11,1/1/1998 12:00,-2.30546291,0,0,0
1/1/1998,1/1/1998 7:00,7,1,0,0,-0.401628827,0.570519566,-1.377136506,-3.705178323,11.62682168,1/1/1998 4:11,1/1/1998 12:00,-2.043663522,0,0,0
1/1/1998,1/1/1998 8:00,8,1,0,0,-0.401628827,0.570519566,-1.377136506,-3.705178323,11.62682168,1/1/1998 5:11,1/1/1998 12:00,-1.781864135,0,0,0
1/1/1998,1/1/1998 9:00,9,1,0,0,-0.401628827,0.570519566,-1.377136506,-3.705178323,11.62682168,1/1/1998 6:11,1/1/1998 12:00,-1.520064747,0,0,0
1/1/1998,1/1/1998 10:00,10,1,0,0,-0.401628827,0.570519566,-1.377136506,-3.705178323,11.62682168,1/1/1998 7:11,1/1/1998 12:00,-1.258265359,0,0,0
1/1/1998,1/1/1998 11:00,11,1,418,25,-0.401628827,0.570519566,-1.377136506,-3.705178323,11.62682168,1/1/1998 8:11,1/1/1998 12:00,-0.996465971,209.0175735,20.23611111,0.000229254
1/1/1998,1/1/1998 12:00,12,1,680,51,-0.401628827,0.570519566,-1.377136506,-3.705178323,11.62682168,1/1/1998 9:11,1/1/1998 12:00,-0.734666583,464.4438627,41.28166667,0.000505726
1/1/1998,1/1/1998 13:00,13,1,836,54,-0.401628827,0.570519566,-1.377136506,-3.705178323,11.62682168,1/1/1998 10:11,1/1/1998 12:00,-0.472867196,685.0381386,43.71,0.000728748
1/1/1998,1/1/1998 14:00,14,1,845,79,-0.401628827,0.570519566,-1.377136506,-3.705178323,11.62682168,1/1/1998 11:11,1/1/1998 12:00,-0.211067808,760.4993038,63.94611111,0.000824445
1/1/1998,1/1/1998 15:00,15,1,839,92,-0.401628827,0.570519566,-1.377136506,-3.705178323,11.62682168,1/1/1998 12:11,1/1/1998 12:00,0.05073158,771.243438,74.46888889,0.000845712
