Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,1.01175750616,6.13796652501,0.0,6.10999914663,0.0,0.150132813914,0.150132813914,0.150132813914,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803470995
 01/01  02:00:00,0.83977355786,6.74493500601,0.0,6.71918441743,0.0,0.165808493098,0.165808493098,0.165808493098,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844102128
 01/01  03:00:00,0.771677468509,6.6588425229,0.0,6.63339049188,0.0,0.16374877491,0.16374877491,0.16374877491,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.0814417455281
 01/01  04:00:00,0.76439501817,6.73219094378,0.0,6.70709718181,0.0,0.165352285825,0.165352285825,0.165352285825,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072553545
 01/01  05:00:00,0.806702521448,6.5286146215,0.0,6.50446877975,0.0,0.160545481047,0.160545481047,0.160545481047,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137188675
 01/01  06:00:00,1.07200779966,6.49879289688,0.0,6.47184807811,0.0,0.159461535661,0.159461535661,0.159461535661,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635094908
 01/01  07:00:00,1.68277042748,6.15437894323,0.0,6.12324685484,0.0,0.150977501504,0.150977501504,0.150977501504,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385252541
 01/01  08:00:00,2.12261352222,6.50917747027,0.0,6.47609729388,0.0,0.15927781486,0.15927781486,0.15927781486,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262255572
 01/01  09:00:00,2.05582329083,6.00725032532,0.0,5.97928294695,0.0,0.147711058614,0.147711058614,0.147711058614,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306488219
 01/01  10:00:00,1.79385571216,5.31015342294,0.0,5.28635092237,0.0,0.129750487362,0.129750487362,0.129750487362,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428681675
 01/01  11:00:00,1.70060685379,5.81689099138,0.0,5.7925286954,0.0,0.143316244275,0.143316244275,0.143316244275,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.642958447734
 01/01  12:00:00,1.58430716255,4.2549594888,0.0,4.23058972889,0.0,0.103784843566,0.103784843566,0.103784843566,0.121932141685,0.0262674173776,0.413608485392,0.353804116208,0.548266158326
 01/01  13:00:00,1.46377821513,3.10949280287,0.0,3.08553355958,0.0,0.0756838412599,0.0756838412599,0.0756838412599,0.121932141685,0.0262674173776,0.399656479991,0.347844169381,0.475750165434
 01/01  14:00:00,1.38160838709,2.63270092278,0.0,2.6079131823,0.0,0.0645285907274,0.0645285907274,0.0645285907274,0.121932141685,0.0262674173776,0.361435815596,0.359872425705,0.430927995997
 01/01  15:00:00,1.33401838342,2.47583708907,0.0,2.44965359204,0.0,0.0609544818887,0.0609544818887,0.0609544818887,0.128349576704,0.0276499030931,0.331767743197,0.380136244918,0.388516433623
 01/01  16:00:00,1.41726036434,2.85891709003,0.0,2.83127812496,0.0,0.0710993802128,0.0710993802128,0.0710993802128,0.160436990796,0.0345623831569,0.339922588697,0.401266965488,0.393328055991
 01/01  17:00:00,1.7467956243,3.62074804852,0.0,3.58805599694,0.0,0.0903706652922,0.0903706652922,0.0903706652922,0.269534103112,0.0580648119413,0.389638662656,0.4746284928,0.447914888497
 01/01  18:00:00,2.36284118609,4.97683173621,0.0,4.9371161183,0.0,0.124099154788,0.124099154788,0.124099154788,0.500563357112,0.107834640941,0.480421867651,0.576597764883,0.556680400714
 01/01  19:00:00,2.77521335799,4.12756353474,0.0,4.08444436077,0.0,0.101039350652,0.101039350652,0.101039350652,0.744427560815,0.160369475696,0.432594020017,0.626011142216,0.664127808596
 01/01  20:00:00,2.76143461758,4.2079770702,0.0,4.16346960362,0.0,0.102726831259,0.102726831259,0.102726831259,0.789349924612,0.170046944353,0.349590650728,0.646166598759,0.68690966787
 01/01  21:00:00,2.5639572164,4.61262665411,0.0,4.5665890801,0.0,0.112905897066,0.112905897066,0.112905897066,0.680252812296,0.146544515569,0.310730298291,0.668380946025,0.628498747153
 01/01  22:00:00,2.33101259212,5.02124071138,0.0,4.97627794455,0.0,0.122990500671,0.122990500671,0.122990500671,0.571155699981,0.123042103946,0.293949140492,0.652776721604,0.55045442542
 01/01  23:00:00,1.90671555359,5.58706394928,0.0,5.54815443675,0.0,0.137033978459,0.137033978459,0.137033978459,0.429971093908,0.0926271950982,0.234174068073,0.564894596568,0.431370621489
 01/01  24:00:00,1.46642400417,6.10454234446,0.0,6.07073070207,0.0,0.149766853328,0.149766853328,0.149766853328,0.295204002519,0.0635947891276,0.151455627092,0.490882893238,0.298875838863
 01/02  01:00:00,1.01542353651,6.9592192335,0.0,6.93125185512,0.0,0.170936707216,0.170936707216,0.170936707216,0.154019476112,0.0331798974413,0.0863692416722,0.40603492295,0.148239291123
 01/02  02:00:00,0.844897819635,7.36085703633,0.0,7.33510644775,0.0,0.180439473206,0.180439473206,0.180439473206,0.0898447275923,0.0193549373138,0.0722387554862,0.373851210082,0.0925247159543
 01/02  03:00:00,0.792198467953,7.81722288207,0.0,7.79177085105,0.0,0.190959929007,0.190959929007,0.190959929007,0.0641747963185,0.013824954979,0.0597152550472,0.369516703299,0.0773628293026
 01/02  04:00:00,0.79145075013,8.12356860907,0.0,8.0984748471,0.0,0.198152179358,0.198152179358,0.198152179358,0.0641747963185,0.013824954979,0.0526110263622,0.364315295158,0.081728497954
 01/02  05:00:00,0.837114968257,8.32168540615,0.0,8.2975395644,0.0,0.20258349218,0.20258349218,0.20258349218,0.0641747963185,0.013824954979,0.0631517086927,0.350553236121,0.126182779967
 01/02  06:00:00,1.09139345231,8.58440396457,0.0,8.5574591458,0.0,0.208704451095,0.208704451095,0.208704451095,0.0641747963185,0.013824954979,0.0759814879778,0.391189237216,0.320874524723
 01/02  07:00:00,1.68958042522,9.35448631466,0.0,9.32335422627,0.0,0.227491116717,0.227491116717,0.227491116717,0.147602041092,0.0317973945638,0.129758030703,0.451980694856,0.684307147284
 01/02  08:00:00,2.09570200746,9.26786648651,0.0,9.23478631012,0.0,0.225452711522,0.225452711522,0.225452711522,0.301621517204,0.0649772920051,0.207405929039,0.480263351619,0.78433720607
