Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.91400626188,7.47524159867,0.0,7.01742118649,0.0,0.193212655944,0.193212655944,0.193212655944,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.429310922598
 01/01  02:00:00,0.7965329737,7.89400744246,0.0,7.52960635052,0.0,0.207314795925,0.207314795925,0.207314795925,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.338151361732
 01/01  03:00:00,0.752209491522,8.11321642886,0.0,7.77507213422,0.0,0.214073275251,0.214073275251,0.214073275251,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.31219890914
 01/01  04:00:00,0.742510967285,8.26340996317,0.0,7.91867603644,0.0,0.218027162386,0.218027162386,0.218027162386,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.319153754856
 01/01  05:00:00,0.742571946938,8.41787635354,0.0,8.00016562703,0.0,0.220270838491,0.220270838491,0.220270838491,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.393096849054
 01/01  06:00:00,0.796028774593,8.6578688358,0.0,7.91942387188,0.0,0.218047752752,0.218047752752,0.218047752752,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.710977854927
 01/01  07:00:00,1.01830639114,9.01896013767,0.0,7.67927644223,0.0,0.211435705183,0.211435705183,0.211435705183,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30794815206
 01/01  08:00:00,1.33832928581,8.87355970458,0.0,7.3590647506,0.0,0.202619225488,0.202619225488,0.202619225488,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.48077356144
 01/01  09:00:00,1.30474069948,8.86960212131,0.0,7.39254007577,0.0,0.203540911149,0.203540911149,0.203540911149,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44855255596
 01/01  10:00:00,1.13495976741,8.67783663983,0.0,7.33240815693,0.0,0.201885281903,0.201885281903,0.201885281903,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.32116460185
