Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.667328777911,1.27021301453,0.0,0.89266779652,0.0,0.0247611373974,0.0247611373974,0.0247611373974,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.351395302221
 01/01  02:00:00,0.563783180614,1.48004466296,0.0,1.17589510098,0.0,0.0326173972823,0.0326173972823,0.0326173972823,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.280072377707
 01/01  03:00:00,0.524452357664,1.61906158289,0.0,1.33462668277,0.0,0.0370203504541,0.0370203504541,0.0370203504541,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.260636871606
 01/01  04:00:00,0.515049463162,1.76154663549,0.0,1.4719876619,0.0,0.040830518235,0.040830518235,0.040830518235,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.266095931982
 01/01  05:00:00,0.516519452555,1.90787918161,0.0,1.56176375936,0.0,0.0433207596135,0.0433207596135,0.0433207596135,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.323538700182
 01/01  06:00:00,0.568495574014,2.14898557225,0.0,1.55198029669,0.0,0.04304938244,0.04304938244,0.04304938244,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.571811468249
 01/01  07:00:00,0.783611290841,3.12508349739,0.0,2.05859351975,0.0,0.0571020005275,0.0571020005275,0.0571020005275,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.0373810108
 01/01  08:00:00,1.08367750904,3.27699951382,0.0,2.0769104538,0.0,0.0576100821706,0.0576100821706,0.0576100821706,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.16915860185
 01/01  09:00:00,1.02079048992,2.41062532275,0.0,1.24277136705,0.0,0.0344724349785,0.0344724349785,0.0344724349785,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.14170403992
 01/01  10:00:00,0.88177641436,1.78649870286,0.0,0.723726170097,0.0,0.0200749743697,0.0200749743697,0.0200749743697,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.04051683982
 01/01  11:00:00,0.890566445857,1.89092381194,0.0,0.950319353384,0.0,0.0263602968229,0.0263602968229,0.0263602968229,0.101778555585,0.0208757889786,0.395792849183,0.330683955288,0.917825348563
 01/01  12:00:00,0.882123097729,0.829470120245,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.413608485392,0.330785267774,0.806684031361
 01/01  13:00:00,0.862598905581,0.741728701095,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.399656479991,0.325213081027,0.71932645138
 01/01  14:00:00,0.835623927166,0.688532372283,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361435815596,0.336458767007,0.665355465335
 01/01  15:00:00,0.831356818766,0.638965645656,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.331767743197,0.355404201945,0.614483685531
 01/01  16:00:00,0.891545084126,0.644474867251,0.0,0.0,0.0,0.0,0.0,0.0,0.133919208083,0.0274681505715,0.339922588697,0.375160136774,0.618632022798
 01/01  17:00:00,1.11959307789,0.71321355148,0.0,0.0,0.0,0.0,0.0,0.0,0.224984235001,0.0461464902322,0.389638662656,0.44374869,0.682645995794
 01/01  18:00:00,1.53810911013,0.851845513686,0.0,0.0,0.0,0.0,0.0,0.0,0.417827884001,0.0857006188716,0.480421867651,0.53908373961,0.814710818753
 01/01  19:00:00,1.81178851188,0.980459869061,0.0,0.0,0.0,0.0,0.0,0.0,0.621385061668,0.127452196829,0.432594020017,0.585282233363,0.940142798468
 01/01  20:00:00,1.76281772805,1.00776461852,0.0,0.0,0.0,0.0,0.0,0.0,0.658882445251,0.135143276261,0.349590650728,0.604126355815,0.966149473642
 01/01  21:00:00,1.63498306873,0.941818200416,0.0,0.0,0.0,0.0,0.0,0.0,0.567817418333,0.1164649366,0.310730298291,0.624895415507,0.898772382272
 01/01  22:00:00,1.49386947983,0.850706338091,0.0,0.0,0.0,0.0,0.0,0.0,0.476752324918,0.0977865969395,0.293949140492,0.610306417479,0.808665480682
 01/01  23:00:00,1.21648734912,0.943883288268,0.0,0.23715246997,0.0,0.00657821970944,0.00657821970944,0.00657821970944,0.358903443084,0.0736146271644,0.234174068073,0.528141991089,0.670349843916
 01/01  24:00:00,0.941417445652,1.23195193055,0.0,0.684560188292,0.0,0.0189885744116,0.0189885744116,0.0189885744116,0.246411292335,0.050541388868,0.151455627092,0.458945562945,0.515777352474
 01/02  01:00:00,0.661474393497,1.28376885301,0.0,0.918599349724,0.0,0.0254804360595,0.0254804360595,0.0254804360595,0.128562410501,0.0263694190929,0.0863692416722,0.379617886171,0.339019587498
 01/02  02:00:00,0.557619629867,1.39363584214,0.0,1.09598673698,0.0,0.0304008706104,0.0304008706104,0.0304008706104,0.0749947671662,0.0153821588643,0.0722387554862,0.34952807774,0.273571920883
 01/02  03:00:00,0.520939003481,1.58175935855,0.0,1.30210436073,0.0,0.0361182346977,0.0361182346977,0.0361182346977,0.0535676765835,0.0109872588647,0.0597152550472,0.345475578288,0.255856969302
 01/02  04:00:00,0.513507562515,1.75005167625,0.0,1.46562475871,0.0,0.0406540217592,0.0406540217592,0.0406540217592,0.0535676765835,0.0109872588647,0.0526110263622,0.340612578945,0.260963875937
 01/02  05:00:00,0.512038066772,1.83212472087,0.0,1.49650285683,0.0,0.0415105294465,0.0415105294465,0.0415105294465,0.0535676765835,0.0109872588647,0.0631517086927,0.327745893185,0.31304514198
 01/02  06:00:00,0.563465636197,2.08508339176,0.0,1.5183357214,0.0,0.0421161372232,0.0421161372232,0.0421161372232,0.0535676765835,0.0109872588647,0.0759814879778,0.365738075548,0.541553863046
 01/02  07:00:00,0.773521294525,3.07498106745,0.0,2.07789949072,0.0,0.057637516429,0.057637516429,0.057637516429,0.123205679416,0.0252706876143,0.129758030703,0.422574380363,0.96797260989
 01/02  08:00:00,1.04177171365,2.44476925162,0.0,1.32904950456,0.0,0.0368656486976,0.0368656486976,0.0368656486976,0.251768089917,0.0516401067072,0.207405929039,0.449016939288,1.08478928889
 01/02  09:00:00,0.973165450259,1.77492621661,0.0,0.695235723488,0.0,0.0192846962105,0.0192846962105,0.0192846962105,0.24105456125,0.0494426573893,0.268690649238,0.379617886171,1.05354057733
 01/02  10:00:00,0.816670381524,0.980546876345,0.0,0.0,0.0,0.0,0.0,0.0,0.123205679416,0.0252706876143,0.330033495679,0.323085518815,0.958291183404
 01/02  11:00:00,0.813289919745,0.865087569145,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.344876619894,0.330683955288,0.842308459155
 01/02  12:00:00,0.82963433821,0.761767448882,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361119725873,0.330785267774,0.738981359998
 01/02  13:00:00,0.81478839949,0.679644991649,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.3518459739,0.325213081027,0.657242741934
 01/02  14:00:00,0.792035894651,0.630593874539,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.317847783081,0.336458767007,0.607416967591
